A338454000000000,ENG5314_1 - Control Sys Analysis & Des M
A338454000000000,ENG5082_1 - Space Flight Dynamics M
A338454000000000,ENG5013_1 - Flight Dynamics M
A338454000000000,ENG5091_1 - Physics of Fluids M
A338454000000000,ENG5076_1 - Simulation of Aero Systems
A912117000000000,ENG3046_1 - Structural Design 3
A912117000000000,ENG3086_1 - Transport Engineering 3
A912117000000000,ENG3037_1 - Mechanics of Solids 3
A912117000000000,ENG3085_1 - Hydraulic Engineering 3
A214131000000000,MATHS1017_1 - Mathematics 1
A214131000000000,ASTRO1001_1 - Astronomy 1
A413753000000000,COMPSCI4014_1 - Interactive Systems (H)
A413753000000000,COMPSCI4009_1 - Algorithmics I (H)
A151111000000000,LAW1028_1 - (CL) System and Method
A151111000000000,LAW1026_1 - Criminal Law Englnd&Wales (CL)
A151111000000000,LAW1027_1 - (CL) Law of Contract
A713134000000000,ACCFIN1004_1 - Financial Accounting 1
A713134000000000,MGT1005_1 - Introduction to Management
A713134000000000,ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis
A151213000000000,ENG2086_1 - Engineering Mathematics 2
A151213000000000,ENG2081_1 - Mechanics of Structures 2A
A151213000000000,ENG2085_1 - Fluid Mechanics 2
A151213000000000,ENG2045_1 - Power Electronics 2
A114354000000000,ENG2086_1 - Engineering Mathematics 2
A114354000000000,ENG2023_1 - Electrical Circuits 2
A114354000000000,ENG2020_1 - Digital Electronics 2
A114354000000000,ENG2045_1 - Power Electronics 2
A123142000000000,MED5029_1 - Introduction to Statistical
A131521000000000,ENG2086_1 - Engineering Mathematics 2
A131521000000000,ENG2085_1 - Fluid Mechanics 2
A421211000000000,ECON5082_1 - Quantitative Methods _ Maths
A421211000000000,ECON5082_2 - Quantitative Methods _ Stats
A241197000000000,CHEM1001_1 - Chemistry 1
A241197000000000,BIOL1001_1 - Biology 1A
A129289000000000,ECON4049_1 - Behavioural Econ: Theory & App
A129289000000000,ECON4072_1 - Economics of Poverty
A129289000000000,ECON4011_1 - Environmental Economics
A512016000000000,PHIL1010_1 - Philosophy 1A
A512016000000000,SOCIO1009_1 - Sociology 1A: Self & Society
A512016000000000,PSYCH1001_1 - Psychology 1A
A94551400000000,CHEM2016_1 - Chemistry 2X single Class Test
A94551400000000,BIOL2039_1 - Fundamental Topics in Biol 2X
A138140000000000,MATHS1017_1 - Mathematics 1
A138140000000000,COMPSCI1001_1 - Computing Science 1P Class Tst
A138140000000000,COMPSCI1006_1 - CS1F _ Computing Fundamentals
A138140000000000,ASTRO1003_1 - Exploring the Cosmos 1X
A112085000000000,COMPSCI5100_1 - Machine Learning & AI for DS
A112085000000000,ENG5022_1 - Control M
A112085000000000,ENG5292_1 - Power Electronics and Drives M
A314115000000000,COMPSCI4014_1 - Interactive Systems (H)
A314115000000000,COMPSCI4009_1 - Algorithmics I (H)
A401212000000000,BIOL4234_1 - Neuroscience 3A
A781085000000000,COMPSCI2003_1 - Algorithmic Foundations 2
A781085000000000,COMPSCI2001_1 - Java Programming 2
A781085000000000,COMPSCI2024_1 - Networks & Op Systems Ess 2
A781085000000000,COMPSCI1006_1 - CS1F _ Computing Fundamentals
A912710000000000,ENG2086_1 - Engineering Mathematics 2
A912710000000000,ENG2081_1 - Mechanics of Structures 2A
A912710000000000,ENG2085_1 - Fluid Mechanics 2
A912710000000000,ENG2045_1 - Power Electronics 2
A347102000000000,ENG2086_1 - Engineering Mathematics 2
A347102000000000,ENG2081_1 - Mechanics of Structures 2A
A347102000000000,ENG2048_1 - Structural Design 2
A347102000000000,ENG2085_1 - Fluid Mechanics 2
A114111000000000,ENG3046_1 - Structural Design 3
A114111000000000,ENG3037_1 - Mechanics of Solids 3
A114111000000000,ENG2085_1 - Fluid Mechanics 2
A210155000000000,ENG5027_1 - Digital Signal Processing
A210155000000000,ENG5092_1 - VLSI Design M
A153611000000000,THEATRE2001_1 - Thtre St 2:Clsscal To Mdrn
A129712000000000,LAW2007_1 - Jurisprudence
A129712000000000,LAW2011_1 - Property Law
A129712000000000,LAW2010_1 - Law and Government
A511134000000000,LAW1021_1 - Obligations 1A
A511134000000000,LAW1003_1 - Criminal Law and Evidence 1
A511134000000000,LAW1020_1 - Introduction to Legal Study
A801321000000000,PHIL1010_1 - Philosophy 1A
A801321000000000,PSYCH1001_1 - Psychology 1A
A801321000000000,HISTART1002_1 - History of Art 1A
A174714000000000,ECON5012_1 - Financial Services
A174714000000000,MGT5182_1 - Intl Strategic Mgmt
A64714000000000,ENG3026_1 - Electronic System Design 3
A64714000000000,ENG3043_1 - Real Time Computer Systems 3
A64714000000000,ENG3014_1 - Communication Systems 3
A64714000000000,ENG3025_1 - Electronic Devices 3
A64714000000000,ENG3036_1 - Simulation of Eng Systems 3
A154546000000000,ACCFIN5205_1 - Corporate Fin
