ACCFIN5205_1 - Corporate Fin,1.5
ECON5024_1 - Monetary Pol/Role Cent Banks,2
ECON5008_1 - Fin Institutions/Market Dev CS,1.5
ECON4012_1 - Fin. Mkts. & Asset Pricing,1
"ECON4020_1 - Micro Anal: Cons,Pro&Gen Equi",2
ECON4003_1 - Econometrics 1,2
HIST2016_1 - History 2A: Soc Cult Hist,1.5
ECON4048_1 - History of Economic Thought,2
ENG1031_1 - Intro to Biomed Engineering 1,1.5
LAW5037_1 - International Competition Law,2
LAW5034_1 - IP Law and the Market,2
HIST1008_1 - Hist 1A Scotland's Millennium,1.5
BIOL4051_2 - Genetics 3A_Data Handling,2
BIOL4051_1 - Genetics 3A_Essay,3
LAW1038_1 - Obligations 1A (FR),2
LAW1036_1 - Criminal Law & Evidence 1 (FR),2
LAW1033_1 - Legal Skills for Graduates,1.5
LAW1040_1 - (CL) System & Method for Grads,1.5
COMPSCI4038_1 - Prof Skills & Issues (H),1
ENG4025_1 - Finite Element Analysis 4,2
ENG3053_1 - Thermodynamics of Engines 3,1.5
ENG1021_1 - Electronic Engineering 1X,2
PSYCH4036_1 - Social Psychology 3H,1.5
ARCH1001_1 - Arch 1A: Arch of Scotland,1.5
GEOG1001_1 - Geography 1,1.5
LAW2038_1 - Land Law,2
COMPLIT1001_1 - Comparative Literature 1A,1.5
PSYCH2010_1 - Psychology 2A Paper 1,2
PSYCH2010_2 - Psychology 2A Paper 2,1
THEATRE1001_1 - Theatre Studies 1:  Reading,1
CEES1015_1 - CEES 1A,1.5
PUBPOL2010_1 - Social & Public Policy 2A,2
PHYS4017_1 - Physics 3: Class Test,3
PHYS5012_1 - Problem Solving Workshop,1.5
PUBPOL1010_1 - Social and Public Policy 1A,2
POLITIC4020_1 - Politics of the EU,2
POLITIC4002_1 - British Prime Ministers,2
"POLITIC4140_1 - War, Peace & World Orders",2
BIOL5283_1 - Fundamentals of Neuroscience,2
GEOG4013_1 - Geographic Thought,1.5
HISTART2004_1 - History of Art 2A,1.5
MGT2012_1 - Operations Management,1
BIOL4056_1 - Immunology 3A Problem Paper,1.5
CHEM5070_1 - Catalyst structure & function,2
CHEM5074_1 - Catalyst preparation,2
CHEM5068_1 - Catalyst deactivation resit,2
CHEM5069_1 - Catalyst testing resit,2
CHEM3015_1 - Physical Chemistry 3 Half,1.5
CHEM3013_1 - Organic Chemistry 3 Half,1.5
CHEM3011_1 - Inorganic Chemistry 3 Half,1.5
LAW5159_1 - Int Law and Int Econ Gov,2
COMPLIT2001_1 - Comparative Literature 2A,1.5
SCOTLIT1013_1 - Scottish Literature 1A,1.5
MFL1012_1 - Japanese Intnl Mob 1,1
GEOG5019_1 - Principles of GIS,1.5
STATS3002_1 - Stats For Biomedical Eng 3,1.5
ENG3084_1 - Biomechanics 3,2
ENG3038_1 - Microscopy and Optics 3,2
ENG3011_1 - Biological Fluid Mechanics 3,2
STATS5025_1 - Regression Models,1.5
STATS5016_1 - Big Data Analytics M,1.5
STATS5098_1 - Advanced Predictive Models,1.5
STATS5028_1 - Statistical Inference,1.5
STATS5024_1 - Probability Level M,1.5
STATS5099_1 - Data Mining,1.5
STATS5014_1 - Bayesian Statistics (Level M),2
ACCFIN4016_1 - Managmt Acc in Organ & Society,1.5
MGT4003_1 - Global Business,1.5
COMPSCI5092_1 - Research Professional Skills M,0.75
COMPSCI5089_1 - Data Science and Systems,2
EARTH1001_1 - Earth Science 1A,1.5
ENG4098_1 - Microelec in Consumer Prods 4,1.5
NURSING2013_1 - Biomedical Life Sciences 2,1.5
GEOG2001_1 - Geography 2,2
EDUC2111P_1 - Curriculum Enquiry 2A,2
BIOL4228_1 - Human Biology 3A,1
ACCFIN1016_1 - Introduction to Fin Inv & Inst,2
STATS5100_1 - Bayesian Stats Level M _Summer,2
MATHS1015_1 - Maths 1C,2
ENG4173_1 - Renewable & Sustn Energy 4,2
ECON5032_1 - Theory & Principles Of Sustain,2
ENG4053_1 - Digital Signal Processing 4,2
ENG4042_1 - Control 4,2
ECON5030_1 - Econ of Inequality/Deprivation,2
PHIL2010_1 - Philosophy 2A: What am I?,1.5
ENG4124_1 - Adv Steel & Concrete Design 4,2
ENG4183_1 - Transportation Systems Eng 4,2
ENG4070_1 - Geotechnical Engineering 4,2
ENG5308_1 - Biophysics of Cells and Syst M,1.5
STATS2002_1 - Statistics 2R,1.5
MATHS2032_1 - Maths 2C,1.5
STATS2003_1 - Statistics 2S,1.5
ACCFIN5203_1 - Foundations of ICF,2
ENG5287_1 - Biomechanics M,2
ENG5289_1 - Microscopy and Optics M,2
ENG5286_1 - Biological Fluid Mechanics M,2
TRS1006_1 - TRS1:Creation To Apocalypse,1.5
POLITIC4162_1 - Intergroup Conflct & Rconcltn,2
POLITIC4128_1 - Political Social Movements,1.5
PUBPOL4028_1 - Disability and Society,2
PUBPOL4031_1 - Ideological Concepts & Values,1
ENG4193_1 - Ultrasound Technology & Apps 4,1.5
ENG4187_1 - Power Electronics and Drives 4,2
CELTCIV1001_1 - Celtic Civilisation 1A,1.5
ACCFIN4010_1 - Capital Markets & Portfolio Mg,2
ACCFIN4007_1 - Adv Financial Accounting,1.5
DUMF2037_1 - Research Methods for SocSci,1
DUMF2010_1 - Issues in Contemporary Socie,1.5
MED4044_1 - Public Health (intercal),1
PHYS4003_1 - Physics 3: Class Test,3
PHYS4031_1 - Physics 3: Class Test,3
PHYS4011_1 - Physics 3: Class Test,3
EARTH4085_1 - Basin Resources & Sust Futures,2
EARTH4089_1 - Hydrogeology,1.5
LAW5040_1 - International Trade Law,2
MFL1059_1 - French Intnl Mob 1,1
ECON4078_1 - Financial Crises,2
ENG4181_1 - Biophys of Cells & Sys 4,1.5
ECON5121_1 - Microeconometrics,1.5
LAW5041_1 - International Finance Law,2
MFL1074_1 - Spanish Intnl Mob 1,1
PHYS4049_1 - Mathematical Methods 2 Dec Ex,1.5
PHYS4061_1 - Hons Physics Lab (Dec Exam),1.5
PHYS4052_1 - Solid State Physics Dec Exam,1.5
PHYS4050_1 - Nuclear & Particle Phys Dec Ex,1.5
PHYS4051_1 - Quantum Theory Dec Exam,1.5
ECON4009_1 - Economics of Industry,1
LAW3031_1 - Criminal Justice 1 (Sem1 Only),1
LAW3028_1 - Children's Rights (Sem1 Only),1.5
LAW2006_1 - International Private Law,2
ACCFIN1006_1 - Intro to Mgmt Acc & Control,2
MED4058_1 - Emergency Medicine (Intercal),1
MED4048_1 - Statistics (intercalated),2
PSYCH4037_1 - Statistcl & Scientfc Models 3H,2
PSYCH4006_1 - Human Development 3H,1.5
EARTH2010_1 - Earth Science 2A,2
PUBPOL4034_1 - Remaking Cities,1.5
ESH2001_1 - ESH 2A,2
ACCFIN2018_1 - Statistical Analysis and Metho,1.5
ACCFIN2003_1 - Financial Accounting 2,1.5
LAW1001_1 - Business Law,2
MFL1028_1 - Portuguese Intnl Mob 1,1
MATHS2027_1 - MATHEMATICS 2P,1.5
LAW2031_1 - ADVANCED INTERNATIONAL LAW,2
POLITIC4013_1 - Latin American Politics,2
BIOL4009_2 - Biochemistry 3A_Data Handling,2
BIOL4009_1 - Biochemistry 3A_Essay,3
CHEM2002_1 - Chemistry 2Y Class Test,1
CHEM2001_1 - Chemistry 2X Class Test,1
ENG4184_1 - Navigation Systems 4,2
ENG4138_1 - VLSI Design 4,2
MFL1072_1 - Russian Intnl Mob 1,1
ECON4007_1 - Economics of Business 1,1.5
POLITIC4176_1 - IR Concepts,2
NURSING1011_1 - Biomedical & Social Sciences 1,1.5
ACCFIN5218_1 - Corporate Finance & Investment,1.5
MFL1051_1 - Arabic Intnl Mob 1,1
LAW2046_1 - Jurisprudence (Common Law_FR),2
LAW2048_1 - Law and Gov't (Common Law_FR),2
LATIN1001_1 - Latin 1A: Basic Latin 1,2
ACCFIN4015_1 - Internat Financial Mgt,1.5
INFOST2001_1 - Digital Media & Info Studs 2A,1.5
ENGLANG1001_1 - English Language&Linguistic 1A,1
STATS5015_1 - Biostatistics (Level M),2
ECON5021_1 - Microeconomics with App in Fin,1.5
ECON5013_1 - FDI and Development,2
ENG4121_1 - Space Flight Dynamics 4,2
ENG4094_1 - Mech of Solids 4,2
ACCFIN4008_1 - Adv Theory & Practice Taxation,1.5
SPS4001_1 - The Scottish Enlightenment,1.5
LAW5170_1 - Patents and Innovation,2
ACCFIN5242_1 - Financial Information Managemt,1
ACCFIN5240_1 - Fin Info Mgt (EBG),1
ACCFIN5241_1 - Fin Info Mgt (HR),1
CHEM3014_1 - Physical Chemistry 3,1.5
CHEM3012_1 - Organic Chemistry 3,1.5
CHEM3010_1 - Inorganic Chemistry 3,1.5
PSYCH2014_1 - Adv Intro Indvd Diff & Dev Psy,1.5
BIOL3001_1 - Animal Biology 3A,2
ENGLANG2004_1 - English Language&Linguistc 2A,2
BIOL4074_2 - Molecr&Celur Bio3A_Data Hndlng,2
BIOL4074_1 - Molecular&Cellular Bio3A_Essay,3
MFL1063_1 - French Intnl Mob 3 Sem 1,1
MFL1078_1 - Spanish Intnl Mob 3 Sem 1,1
GEOG4098_1 - Cartographic Design,1
VETSCI3009_1 - Molecular Biology of Cancer 3,1.5
VETSCI3004_1 - Princ Infc Dis & Immun 3,2
BIOL4236_1 - Pharmacology 3A,1
ACCFIN5017_1 - Int Capital Markets,2
GEOG5023_1 - Land Survey 2,1.5
GEOG5008_1 - Fund of Geomatics (comb),2
GEOG5020_1 - Land Survey 1,1.5
ACCFIN4040_1 - Derivative Securities,2
ENG4067_1 - Flight Dynamics 4,2
ENG4102_1 - Physics of Fluids 4,2
LAW4122_1 - Financial Law,1
STATS5101_1 - Environ Stats M,1.5
BIOL4137_1 - Zoology 3A,2
VETSCI1006_1 - DPM_1,1.5
PHYS4007_1 - PHYSICS 4 GENERAL WORKSHOP,1.5
